Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
DON CARLOS (L/B);CB9160;14/03/2019 15:30:00;-37.6018;-73.6549;29;0
ALFA I (L/B);CB4651;14/03/2019 15:30:00;-42.5155;-74.8742;194;0
LUZ ELENA (L/B);CB4206;14/03/2019 15:30:00;-35.3385;-72.3985;354;0
OSCAR ALONSO (L/B);CA4424;14/03/2019 15:30:00;-39.1792;-75.0536;198;2.002
MARIA INES (L/B);CB2105;14/03/2019 15:30:00;-44.0884;-74.454;200;6.492
JUAN CLAUDIO II (L/B);CA4448;14/03/2019 15:30:00;-37.6017;-73.6573;13;0
YOVANKA (L/B);CB5271;14/03/2019 15:30:00;-38.9484;-75.2275;46;0.505
MILENIUM (L/B);CB6708;14/03/2019 15:30:00;-39.8291;-73.2513;31;0
BETTY YULY (L/B);CB3744;14/03/2019 15:30:00;-31.0941;-71.9605;175;0.505
DOÑA BELLA (L/B);CB5197;14/03/2019 15:30:00;-20.2325;-70.15;248;0
MARIA CRUZ II (L/B);CB3666;14/03/2019 15:30:00;-39.0766;-75.1628;180;0
EBEN EZER I (L/B);CB7497;14/03/2019 15:30:00;-27.0637;-70.8248;13;0
DON NESTOR (L/B);CB8291;14/03/2019 15:30:00;-43.1231;-73.6237;29;0
EL PACIFICO (ART);CA2729;14/03/2019 15:30:00;-41.526111;-73.003611;26;8.3
VALENTINA ARACELI (L/B);CA4719;14/03/2019 15:30:00;-39.3721;-74.9142;350;6.492
LUIS DAVID I (L/B);CA4286;14/03/2019 15:30:00;-40.0925;-75.6908;280;0.505
SANTA ISABEL IV (L/B);CB8764;14/03/2019 15:30:00;-50.7891;-76.3279;143;9
MUTRUN (L/B);CA5814;14/03/2019 15:30:00;-35.3387;-72.3987;353;0
DON ADRIAN (L/B);CB3605;14/03/2019 15:30:00;-43.1231;-73.6237;34;0
JOYA II (L/B);CB3092;14/03/2019 15:30:00;-37.6027;-73.6534;324;0
CLAUDIA VICTORIA (L/B);CB3812;14/03/2019 15:30:00;-25.669;-70.8946;253;0.505
DON ADRIAN II (L/B-TRP);CB9577;14/03/2019 15:30:00;-43.123;-73.6238;36;0
JOSE BASILIO (L/B);CB3181;14/03/2019 15:30:00;-37.6012;-73.6557;35;0
HUMBOLDT II (ART);CB8112;14/03/2019 15:30:00;-18.471;-70.3232;303;0
ARAUCANA III (L/B);CB4205;14/03/2019 15:30:00;-41.6305;-74.8958;258;0.505
OCEANIA (L/B);CB4692;14/03/2019 15:30:00;-35.3377;-72.3997;233;0
LAGO GENESARET (L/B);CB2854;14/03/2019 15:30:00;-39.897;-75.4965;87;5.501
COÑA (L/B);CB3596;14/03/2019 15:30:00;-35.3377;-72.3998;28;0
CARMENCHA (L/B);CB4100;14/03/2019 15:30:00;-39.8328;-73.2547;16;0
ROCIO III (L/B);CB7658;14/03/2019 15:30:00;-27.0637;-70.8248;291;0
DON GILBERTO I (ART);CB3819;14/03/2019 15:30:00;-40.3119;-76.1038;24;6.006
CHAFIC I (ART);CA3537;14/03/2019 15:30:00;-29.7079;-71.3913;341;1.497
MAMITA RITA (L/B);CB3130;14/03/2019 15:30:00;-28.3577;-71.4831;23;3.499
PAOLA STEPHANIE (L/B);CA3299;14/03/2019 15:30:00;-37.6035;-73.6521;356;0
HECTOR ALFREDO (L/B);CA4908;14/03/2019 15:30:00;-39.2238;-74.9033;7;0.505
SANTA PALESTINA I (L/B);CA3533;14/03/2019 15:30:00;-37.6017;-73.655;23;0
SAN CARLOS II (L/B);CB4097;14/03/2019 15:30:00;-45.9415;-75.5248;286;0
DOÑA NIEVES (L/B);CB6028;14/03/2019 15:30:00;-39.9316;-75.638;349;8.009
JUAN ANTONIO I (L/B);CB7000;14/03/2019 15:30:00;-25.9533;-70.9394;337;5.501
TUMBES (L/B);CA3554;14/03/2019 15:30:00;-39.3783;-74.9063;253;0.505
JUAN CLAUDIO I (L/B);CA3501;14/03/2019 15:30:00;-37.6017;-73.6573;1;0
MARIA LORETO (L/B);CB2011;14/03/2019 15:30:00;-33.5873;-71.6137;215;0
MORONI (L/B);CB3993;14/03/2019 15:30:00;-40.0327;-75.6966;316;0.991
PIA LICETTY I (ART);CA5601;14/03/2019 15:30:00;-45.467222;-72.820278;311;0
IVETH I (L/B);CB3558;14/03/2019 15:30:00;-40.0306;-75.6325;354;6.998
LAUREANO V (L/B);CB4920;14/03/2019 15:30:00;-35.3377;-72.3998;36;0
DON ENRIQUE F (L/B);CB9690;14/03/2019 15:30:00;-39.2174;-74.9854;4;0.991
STA XIMENA (L/B);CB6886;14/03/2019 15:30:00;-37.5916;-73.6618;83;0
POLACO I (ART-TRP);CA5779;14/03/2019 15:29:46;-53.097;-70.873;231;0
PETROHUE I (ART);CB7842;14/03/2019 15:29:40;-18.4724;-70.3207;0;0
ELVA S (ART;CB3120;14/03/2019 15:29:22;-18.4719;-70.3214;341;0
PETROHUE II (ART);CB7843;14/03/2019 15:29:20;-18.4726;-70.3208;3;0
DON PASCUAL (ART);CB5242;14/03/2019 15:29:18;-36.7126;-73.1117;5;0
CAMPARI III (ART);CB9578;14/03/2019 15:29:00;-41.5025;-72.990833;0;0
JACKIE (L/B);CB4098;14/03/2019 15:29:00;-41.4929;-72.9851;0;0
MARCO POLO (ART);CB2247;14/03/2019 15:29:00;-36.711667;-73.113056;0;0
TOTO (ART);CA2459;14/03/2019 15:29:00;-41.764167;-73.129167;0;0
MAR PRIMERO (ART);CB8415;14/03/2019 15:29:00;-37.5992;-73.662;138;0
SANTA AIDA I (ART);CA2333;14/03/2019 15:29:00;-37.026389;-73.158889;0;0
MAGDALENA II (ART);CB3050;14/03/2019 15:29:00;-36.711667;-73.113056;0;0
OCEANI III (ART);CB2594;14/03/2019 15:29:00;-41.777778;-73.131667;0;0
GUAJACHE II (ART);CA2756;14/03/2019 15:28:32;-18.4722;-70.3217;342;0.505
SANTIAGO (ART);CB8541;14/03/2019 15:28:28;-18.4711;-70.3227;2;0.505
PAOLA I (ART);CA3182;14/03/2019 15:28:22;-37.097;-73.1661;104;0.097
SARITA ELVIRA (ART);CB4283;14/03/2019 15:28:19;-42.7236;-74.7983;100;0.408
COYI II (ART);CA5302;14/03/2019 15:28:13;-18.472;-70.3214;9;0
SUSANA (ART);CB7903;14/03/2019 15:28:05;-36.7274;-73.1319;250;0
DOÑA CATALINA (ART);CB4518;14/03/2019 15:28:00;-37.025;-73.156667;209;0
DON ALFONSO II (ART);CB6772;14/03/2019 15:28:00;-41.493056;-72.984722;263;0
GIANFRANCO (ART);CA5228;14/03/2019 15:28:00;-37.101944;-73.172222;163;7.6
DON FRANCISCO I (ART);CA3074;14/03/2019 15:28:00;-41.819722;-73.18;322;7.095
SOTILEZA (ART);CB5040;14/03/2019 15:28:00;-37.100556;-73.161944;190;0
DON KAKO (ART);CA4315;14/03/2019 15:28:00;-36.7125;-73.112222;0;0
DON ARMANDO (ART);CB3212;14/03/2019 15:28:00;-36.641111;-73.091111;0;0
MARICIA (ART);CB4523;14/03/2019 15:28:00;-36.640833;-73.090556;104;0
DON DIONISIO II (ART);CA5286;14/03/2019 15:28:00;-37.026389;-73.159167;83;0
DON BENJA (ART);CA4314;14/03/2019 15:28:00;-39.892222;-75.534167;66;5.404
KOKALECA III (ART);CA2563;14/03/2019 15:28:00;-41.878333;-73.208889;11;6.609
LOBO DE AFUERA V (ART);CA4636;14/03/2019 15:27:52;-18.4724;-70.3227;18;0.505
DON PEYO I (ART-TRP);CB8940;14/03/2019 15:27:45;-51.7383;-72.5038;0;0
ODISEO (ART);CB8088;14/03/2019 15:27:43;-18.4718;-70.322;347;0.505
DON UBALDO H.Q. (ART);CB4148;14/03/2019 15:27:42;-18.4749;-70.3222;0;0
ARKHOS IV (ART);CA6307;14/03/2019 15:27:39;-18.4716;-70.3224;354;0
XOLOT (ART);CB8110;14/03/2019 15:27:36;-28.1476;-71.3084;234;1.497
ISAURA (ART);CB5051;14/03/2019 15:27:32;-18.4727;-70.3219;339;0.505
LORETO V (ART);CA5374;14/03/2019 15:27:15;-18.4708;-70.3231;345;0.505
CAROLINA I (L/B);CB4336;14/03/2019 15:27:15;-39.8366;-75.7011;354;6.006
DON ANSELMO II (ART);CB9589;14/03/2019 15:27:07;-37.0985;-73.1668;334;0.505
FRAPOLI (L/B);CB3805;14/03/2019 15:27:00;-46.2527;-75.413;310;8.009
J J (ART);CB2506;14/03/2019 15:27:00;-18.4723;-70.3212;76;0.505
PIGARGO (ART);CB3431;14/03/2019 15:27:00;-45.409722;-72.942778;231;0
EMELINDA (ART);CB3118;14/03/2019 15:27:00;-36.725833;-73.132222;0;0
DON RODRIGO B (ART);CA3929;14/03/2019 15:27:00;-37.095833;-73.486111;3;0.991
SUSANA III (ART);CA4166;14/03/2019 15:27:00;-39.4975;-75.938889;249;2.002
GRINGO PABLO II (ART);CB8300;14/03/2019 15:26:53;-18.473;-70.3215;332;0
SANTA MARGARITA I (L/B);CB2394;14/03/2019 15:26:51;-18.472;-70.323;12;0.505
AMADEUS (ART);CA4581;14/03/2019 15:26:50;-18.4724;-70.3232;14;0.505
DON JOSE IV (ART)_1322;CB5682;14/03/2019 15:26:44;-36.3902;-72.9405;247;2.197
DON TITO R (ART);CB6575;14/03/2019 15:26:42;-39.1988;-74.9617;57;3.091
JOYA DEL PACIFICO (L/B);CB3632;14/03/2019 15:26:41;-33.036;-71.6278;0;0
JOSUE (ART);CB6783;14/03/2019 15:26:41;-36.726;-73.1318;0;0
DON NENE (ART);CB5547;14/03/2019 15:26:35;-37.5998;-73.662;0;0
AMADEUS II (ART);CA5192;14/03/2019 15:26:34;-18.4725;-70.3232;26;0.505
MARCELO RODOLFO (ART);CB6507;14/03/2019 15:26:33;-18.4709;-70.3232;22;0.505
KAWESCAR (ART);CB8264;14/03/2019 15:26:30;-18.4713;-70.3232;26;0.505
CHANGO I (ART);CA4154;14/03/2019 15:26:23;-18.4713;-70.3224;22;0.505
MARIA ISABEL (ART);CB4425;14/03/2019 15:26:17;-36.7262;-73.1321;0;0
BRYAN ALEJANDRO (ART);CA6493;14/03/2019 15:26:14;-41.867;-73.8327;0;0
PELICANO (ART);CB2179;14/03/2019 15:26:13;-18.4715;-70.3227;10;0.505
TAJAMAR V (ART-TRP);CB8962;14/03/2019 15:26:07;-55.0368;-67.0233;0;0
SANDRITA I (ART);CB6813;14/03/2019 15:26:06;-36.7267;-73.1316;0;0
PETER I (ART-TRP);CB9325;14/03/2019 15:26:03;-53.0956;-70.8748;0;0
MATIAS NICOLAS (ART);CA5093;14/03/2019 15:26:01;-36.7264;-73.1303;0;0
DON LINO (ART);CB2026;14/03/2019 15:26:00;-43.121667;-73.624722;0;0
LUIS DAVID II (ART);CA5440;14/03/2019 15:26:00;-38.955556;-75.492778;149;8.009
ANTARES IV (ART);CA2738;14/03/2019 15:26:00;-41.764444;-73.128333;206;0
LUCAS I (ART);CB9299;14/03/2019 15:26:00;-37.026111;-73.157222;182;0
REY DE REYES (ART);CA4170;14/03/2019 15:26:00;-37.601667;-73.6575;221;0
AMPARITO I (ART);CB8202;14/03/2019 15:26:00;-36.7025;-73.078056;142;5.21
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 15:25:55;-37.0973;-73.1644;145;0.194
DON RAUL M (ART);CB6352;14/03/2019 15:25:49;-18.4724;-70.3227;0;0
ISAAC (ART);CB8039;14/03/2019 15:25:49;-36.7261;-73.1318;0;0
PUNTA TALCA (ART);CB2177;14/03/2019 15:25:48;-29.7672;-71.3914;181;2.508
DON LUCHO III (ART);CA5091;14/03/2019 15:25:41;-37.0998;-73.1657;116;0.097
RIO JORDAN X (ART);CA7673;14/03/2019 15:25:30;-37.0978;-73.1648;103;0
DON FRUCTUOSO (ART);CB7433;14/03/2019 15:25:26;-18.4728;-70.3217;318;0.505
INTREPIDA II (ART);CB3914;14/03/2019 15:25:14;-36.7266;-73.1318;0;0
DON FELIX III (L/B);CA5860;14/03/2019 15:25:12;-41.4974;-72.9858;89;0
GALILEA I (ART);CA3627;14/03/2019 15:25:11;-37.1277;-73.2925;45;6.706
GABRIELA I (ART);CB2412;14/03/2019 15:25:03;-27.9391;-71.2516;204;6.998
GREISIS NICOL II (ART);CA2615;14/03/2019 15:25:01;-53.1319;-74.2994;30;0.097
DON JULIO (ART);CB7737;14/03/2019 15:25:00;-39.948611;-75.588333;151;0.7
TURIMAR II (ART);CB7028;14/03/2019 15:25:00;-36.642222;-73.09;84;0
ORION IV (ART);CA3426;14/03/2019 15:25:00;-42.376111;-73.620556;265;0
YUCATAN (L/B);CA3551;14/03/2019 15:25:00;-38.945556;-75.106944;279;4.296
ANA MARIA (ART);CA2598;14/03/2019 15:25:00;-37.154722;-73.391111;19;0.894
DON JAIME (ART);CA2276;14/03/2019 15:25:00;-39.271111;-74.968611;240;1.497
DOÑA GLADYS II (ART);CA3307;14/03/2019 15:25:00;-37.1675;-73.356667;244;7.309
GENESIS ELENA (ART);CB7443;14/03/2019 15:25:00;-37.603611;-73.651944;104;0
CRISTINA (ART);CB7787;14/03/2019 15:25:00;-36.687778;-73.061111;137;5.501
BILL (ART);CB2187;14/03/2019 15:25:00;-36.711944;-73.112778;105;0
FERNANDO ANDRES II (L/B);CB8500;14/03/2019 15:25:00;-33.5835;-71.6146;0;0
EL BELA (ART);CB8059;14/03/2019 15:24:58;-37.0974;-73.167;163;0.194
ROYAL BLUE (L/B);CA6676;14/03/2019 15:24:54;-27.0639;-70.8245;0;0
STA. ISABEL III (L/B);CB8761;14/03/2019 15:24:42;-51.6821;-76.13;345;0.991
TIBURON B (ART);CB5791;14/03/2019 15:24:40;-41.7869;-73.1493;353;0
CHANGO (ART);CA2065;14/03/2019 15:24:39;-36.7121;-73.1126;0;0
ABEL (ART);CA3747;14/03/2019 15:24:36;-18.4723;-70.3233;17;0.505
ISAURA I (ART);CA2650;14/03/2019 15:24:26;-18.473;-70.3215;22;0.505
ARKHOS I (ART);CB8235;14/03/2019 15:24:22;-18.4717;-70.3223;331;0.505
IGNACIA MONSERRAT (L/B);CA5615;14/03/2019 15:24:10;-35.3387;-72.3981;357;0
YARODAL II (TRP);CA5657;14/03/2019 15:24:04;-53.3808;-69.5583;0;0
DON FERNANDO II (ART);CB6996;14/03/2019 15:24:00;-39.496944;-75.828056;57;1.108
ESTRELLA II (ART);CB4492;14/03/2019 15:24:00;-36.835278;-73.304444;2;0.797
JOSE LUIS (ART);CB4969;14/03/2019 15:24:00;-39.8475;-75.733333;1;5.307
DON MATEO (ART);CA2746;14/03/2019 15:24:00;-37.026389;-73.156667;349;0
DON EDUARDO II (ART-TRP);CB8886;14/03/2019 15:24:00;-41.7225;-73.152778;128;0
DON MATEO I (ART);CA5696;14/03/2019 15:24:00;-37.601389;-73.655833;184;0
EL ACUARIO I (ART);CA3606;14/03/2019 15:24:00;-36.838889;-73.391944;117;0.603
DON WILLY (ART);CA4495;14/03/2019 15:24:00;-36.639722;-73.089167;85;0
LIDIA C (ART);CB8129;14/03/2019 15:24:00;-39.021111;-75.116111;26;8.397
PUERTO BRAVO (ART);CB7625;14/03/2019 15:24:00;-37.603333;-73.6525;108;0
DON NORMA (ART);CB8675;14/03/2019 15:24:00;-36.690278;-73.073889;270;0.194
SOFIA M (L/B);CA6636;14/03/2019 15:24:00;-39.774722;-75.539722;9;9.292
PATRICIA III (ART);CB3815;14/03/2019 15:24:00;-36.538333;-72.955833;307;0
HALCON I (ART);CA5204;14/03/2019 15:24:00;-36.711389;-73.109722;185;0
MARBELLA II (ART);CB6318;14/03/2019 15:24:00;-36.655833;-73.083611;311;2.099
DON MANUEL R (ART);CA3586;14/03/2019 15:24:00;-36.706111;-73.105278;222;7.095
NOVIA DEL MAR IV (ART);CA5130;14/03/2019 15:24:00;-36.709167;-73.071944;357;0
MARISELA I (ART);CA4876;14/03/2019 15:24:00;-36.71;-73.073333;261;5.598
FEIDIPIDES (L/B);CB5726;14/03/2019 15:24:00;-39.8337;-73.2561;52;0.505
INGRID FERNANDA (ART);CA2921;14/03/2019 15:23:58;-37.6039;-73.6514;97;0
ENRIQUE I (TRP);CB5437;14/03/2019 15:23:51;-45.4703;-72.8183;355;0
ARKHOS II (ART);CB6995;14/03/2019 15:23:42;-18.4716;-70.3223;26;0.505
DON LUCHO (ART);CB9555;14/03/2019 15:23:38;-18.4716;-70.3231;0;0
EBENEZER II (ART);CB8449;14/03/2019 15:23:36;-39.8672;-73.4226;177;6.006
DON ROBERT (ART);CA2698;14/03/2019 15:23:28;-37.0161;-73.479;311;8.495
TUAREG I (ART);CB8162;14/03/2019 15:23:23;-18.4728;-70.3232;338;0.505
PETROHUE III (ART);CB8757;14/03/2019 15:23:20;-18.4723;-70.3211;349;0
COYI I (ART);CA5350;14/03/2019 15:23:18;-18.472;-70.3214;342;0.505
SAN FRANCISCO II (ART/TRP);CB9837;14/03/2019 15:23:10;-42.3823;-73.6532;0;0
VALENCIA (ART);CB2452;14/03/2019 15:23:08;-20.2045;-70.1527;336;0.505
UZIEL II (ART);CB7875;14/03/2019 15:23:05;-36.53;-72.9561;0;0
ANTARES II (ART);CB8832;14/03/2019 15:23:00;-42.905;-73.493333;168;7.095
YOLIH (ART);CB2504;14/03/2019 15:23:00;-36.71;-73.097222;231;4.898
SARITA II (ART);CB6395;14/03/2019 15:23:00;-36.800556;-73.381667;258;0.408
DON ISAAC (ART);CA3231;14/03/2019 15:23:00;-41.764444;-73.128056;0;0
NELLY (ART);CB3301;14/03/2019 15:23:00;-37.026667;-73.158056;340;0
FLOPY I (ART);CA5582;14/03/2019 15:23:00;-46.490833;-75.568333;31;6.609
DON ALFONSO IV (L/B);CA6685;14/03/2019 15:23:00;-39.825278;-75.485;199;1.905
ESTURION (ART);CA3933;14/03/2019 15:23:00;-36.640833;-73.090278;78;0
LAUCA (ART);CA3610;14/03/2019 15:23:00;-36.695833;-73.073333;72;0
CANDELARIA II (ART);CA4249;14/03/2019 15:23:00;-28.145556;-71.271667;18;0.797
DON DEMETRIO III (ART);CB8555;14/03/2019 15:23:00;-37.098056;-73.165556;182;0
DIEGO ESTEBAN (ART);CA5543;14/03/2019 15:22:58;-37.0277;-73.1596;178;0
SANTA MARIA II (L/B);CB3528;14/03/2019 15:22:51;-36.638;-73.0892;360;0.505
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 15:22:47;-18.4724;-70.3225;0;0
CARLOS FABIAN III (ART);CB9406;14/03/2019 15:22:47;-41.4866;-72.9769;7;0
ELVA S (ART;CB3120;14/03/2019 15:22:43;-18.4719;-70.3214;354;0.505
REY SALOMON (ART);CB5545;14/03/2019 15:22:35;-41.7644;-73.1314;234;0.097
DON ANIBAL (ART);CB3976;14/03/2019 15:22:23;-42.5551;-74.341;351;1.497
STA. ISABEL I (L/B);CB5705;14/03/2019 15:22:19;-51.2385;-75.9986;285;2.002
PETROHUE II (ART);CB7843;14/03/2019 15:22:04;-18.4725;-70.3208;8;0.505
MARIA CECILIA I (L/B);CA4895;14/03/2019 15:22:02;-22.091;-70.2043;8;0.505
PIA LICETTY I (ART);CA5601;14/03/2019 15:22:00;-45.467222;-72.820278;311;0
JORGE ANDRES (ART);CA6216;14/03/2019 15:22:00;-37.025833;-73.1575;192;0
DON NAO (ART);CA2070;14/03/2019 15:22:00;-39.491667;-75.861111;3;6.998
MAMA EDITH (ART);CA6783;14/03/2019 15:22:00;-37.1625;-73.358611;182;0
NIÑA XIMENA (L/B);CA6685;14/03/2019 15:22:00;-37.1125;-73.491667;183;0.991
DON JEAN PIERRE (ART);CB8435;14/03/2019 15:22:00;-39.152778;-75.5425;327;1.205
KAREN PAMELA (ART);CA4047;14/03/2019 15:22:00;-18.471667;-70.323611;230;0
PEDRO L (L/B);CA6466;14/03/2019 15:22:00;-36.7125;-73.112222;320;0
VALENTINA (L/B);CA7237;14/03/2019 15:22:00;-18.471111;-70.322778;182;0
DOÑA MERCEDES (ART);CB4519;14/03/2019 15:21:51;-23.0927;-70.4462;164;0.097
MAR DE ROSS (ART);CB8583;14/03/2019 15:21:41;-41.4866;-72.9754;353;0.505
CECILIA III (ART);CB5169;14/03/2019 15:21:41;-36.7264;-73.1313;0;0
DON DANIEL I (L/B);CB5201;14/03/2019 15:21:36;-36.7262;-73.1315;0;0
ORCA (ART);CB8884;14/03/2019 15:21:30;-42.3823;-73.6534;0;0
MARGOT MARIA (ART-TRP);CB5280;14/03/2019 15:21:22;-53.2089;-70.9388;359;0.505
DON PASCUAL (ART);CB5242;14/03/2019 15:21:18;-36.7126;-73.1118;5;0
PETROHUE I (ART);CB7842;14/03/2019 15:21:17;-18.4724;-70.3207;0;0
LOBA DE MAR (ART);CB5291;14/03/2019 15:21:14;-37.6031;-73.6531;15;0
DON SEBASTIAN (L/B);CA4530;14/03/2019 15:21:04;-39.3976;-73.2148;239;0
SANTA AIDA I (ART);CA2333;14/03/2019 15:21:00;-37.026389;-73.158889;20;0
OCEANI III (ART);CB2594;14/03/2019 15:21:00;-41.777778;-73.131667;0;0
MAR PRIMERO (ART);CB8415;14/03/2019 15:21:00;-37.5992;-73.662;139;0
SANTA MARIA A (ART);CA3051;14/03/2019 15:21:00;-41.488611;-72.971667;0;0
JEPE I (ART);CB6827;14/03/2019 15:21:00;-29.9671;-71.3606;113;0
DON CARLIN I (L/B);CA4559;14/03/2019 15:20:49;-41.4866;-72.9772;279;0
GUAJACHE II (ART);CA2756;14/03/2019 15:20:06;-18.4721;-70.3218;350;0.505
ISAURA (ART);CB5051;14/03/2019 15:20:02;-18.4727;-70.3218;346;0.505
DOÑA CATALINA (ART);CB4518;14/03/2019 15:20:00;-37.025;-73.156667;234;0
DON ALFONSO II (ART);CB6772;14/03/2019 15:20:00;-41.493056;-72.984722;263;0
SOTILEZA (ART);CB5040;14/03/2019 15:20:00;-37.100556;-73.161944;227;0.194
GIANFRANCO (ART);CA5228;14/03/2019 15:20:00;-37.099722;-73.170278;103;0
DON FRANCISCO I (ART);CA3074;14/03/2019 15:20:00;-41.832778;-73.166944;315;7.309
DON ARMANDO (ART);CB3212;14/03/2019 15:20:00;-36.641111;-73.091111;0;0
DON KAKO (ART);CA4315;14/03/2019 15:20:00;-36.7125;-73.112222;0;0
MARICIA (ART);CB4523;14/03/2019 15:20:00;-36.640833;-73.090556;81;0
DON DIONISIO II (ART);CA5286;14/03/2019 15:20:00;-37.026389;-73.159167;298;0
KOKALECA III (ART);CA2563;14/03/2019 15:20:00;-41.892778;-73.209444;5;6.609
DON BENJA (ART);CA4314;14/03/2019 15:20:00;-39.893611;-75.551111;92;6.104
DON ANSELMO II (ART);CB9589;14/03/2019 15:19:56;-37.0985;-73.1667;0;0
ODISEO (ART);CB8088;14/03/2019 15:19:43;-18.4717;-70.322;16;0.505
CHANGO I (ART);CA4154;14/03/2019 15:19:42;-18.4713;-70.3224;20;0.505
ARKHOS IV (ART);CA6307;14/03/2019 15:19:32;-18.4717;-70.3223;3;0.505
AMADEUS (ART);CA4581;14/03/2019 15:19:31;-18.4725;-70.3232;359;0.505
GRINGO PABLO II (ART);CB8300;14/03/2019 15:19:31;-18.473;-70.3216;0;0
ENRIQUETA (ART);CB4499;14/03/2019 15:19:29;-20.2668;-70.1898;360;5.501
CAMPARI I (ART);CB9584;14/03/2019 15:19:27;-41.7874;-73.1487;306;0
JOSUE (ART);CB6783;14/03/2019 15:19:26;-36.726;-73.1319;0;0
COYI II (ART);CA5302;14/03/2019 15:19:22;-18.4721;-70.3213;0;0
DON NENE (ART);CB5547;14/03/2019 15:19:21;-37.5998;-73.662;12;0
PACIFICO A (TRP);CB3896;14/03/2019 15:19:19;-55.0368;-67.0233;0;0
MARCELO RODOLFO (ART);CB6507;14/03/2019 15:19:01;-18.4709;-70.3232;349;0.505
AMADEUS II (ART);CA5192;14/03/2019 15:19:01;-18.4725;-70.3231;345;0.505
DON RODRIGO B (ART);CA3929;14/03/2019 15:19:00;-37.097222;-73.486667;331;0.894
J J (ART);CB2506;14/03/2019 15:19:00;-18.4723;-70.3215;0;0
TITIN (ART);CA2458;14/03/2019 15:19:00;-41.786944;-73.187222;351;0.097
GUAYACAN I (ART);CB7013;14/03/2019 15:19:00;-41.491667;-72.984722;0;0
MARIA ISABEL (ART);CB4425;14/03/2019 15:18:59;-36.7263;-73.1321;0;0
DON UBALDO H.Q. (ART);CB4148;14/03/2019 15:18:54;-18.4738;-70.3232;36;0.991
LOBO DE AFUERA V (ART);CA4636;14/03/2019 15:18:50;-18.4724;-70.3226;346;0.505
ISAAC (ART);CB8039;14/03/2019 15:18:44;-36.7261;-73.1318;2;0
MATIAS NICOLAS (ART);CA5093;14/03/2019 15:18:38;-36.7264;-73.1303;0;0
KAWESCAR (ART);CB8264;14/03/2019 15:18:29;-18.4713;-70.3232;0;0
PELICANO (ART);CB2179;14/03/2019 15:18:28;-18.4714;-70.3226;358;0
DALCA (ART);CB4849;14/03/2019 15:18:21;-37.602;-73.6567;274;0
LORETO V (ART);CA5374;14/03/2019 15:18:21;-18.4708;-70.3231;0;0
ANTARES (ART);CA7199;14/03/2019 15:18:20;-44.1669;-73.8344;14;0.505
TOME II (ART);CA4259;14/03/2019 15:18:19;-36.5378;-72.957;165;0.097
LUCAS I (ART);CB9299;14/03/2019 15:18:00;-37.026111;-73.157222;198;0
EMELINDA (ART);CB3118;14/03/2019 15:18:00;-36.725833;-73.132222;65;0
DON FELIX II (L/B);CA4031;14/03/2019 15:18:00;-41.4868;-72.9769;0;0
ANTARES IV (ART);CA2738;14/03/2019 15:18:00;-41.764444;-73.128333;206;0
DON FELIX (L/B);CB8925;14/03/2019 15:18:00;-41.487;-72.9769;0;0
